id,year,stage,match,gameday,time,home,away,stadium,tv
15826,2014,Ｊ１,第１８節第１日,08/02(土),18:34,ＦＣ東京,清水エスパルス,味の素スタジアム,スカパー！／スカパー！プレミアムサービス／ＴＯＫＹＯ　ＭＸ
15835,2014,Ｊ１,第１９節第１日,08/09(土),18:04,清水エスパルス,徳島ヴォルティス,ＩＡＩスタジアム日本平,スカパー！／スカパー！プレミアムサービス
15837,2014,Ｊ１,第１９節第１日,08/09(土),19:04,セレッソ大阪,ＦＣ東京,ヤンマースタジアム長居,スカパー！／スカパー！プレミアムサービス
15839,2014,Ｊ１,第１９節第２日,08/11(月),19:04,サンフレッチェ広島,サガン鳥栖,エディオンスタジアム広島,スカパー！／スカパー！プレミアムサービス
15872,2014,Ｊ１,第２３節第１日,09/13(土),19:04,アルビレックス新潟,ベガルタ仙台,デンカビッグスワンスタジアム,スカパー！／スカパー！プレミアムサービス
15886,2014,Ｊ１,第２５節第１日,09/23(火・祝),15:34,大宮アルディージャ,川崎フロンターレ,ＮＡＣＫ５スタジアム大宮,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
15896,2014,Ｊ１,第２６節第１日,09/27(土),19:34,名古屋グランパス,アルビレックス新潟,名古屋市瑞穂陸上競技場,スカパー！／スカパー！プレミアムサービス
15911,2014,Ｊ１,第２７節第１日,10/05(日),15:04,サガン鳥栖,横浜Ｆ・マリノス,ベストアメニティスタジアム,スカパー！／スカパー！プレミアムサービス
15917,2014,Ｊ１,第２８節第１日,10/18(土),14:04,ガンバ大阪,川崎フロンターレ,万博記念競技場,スカパー！／スカパー！プレミアムサービス
15931,2014,Ｊ１,第３０節第１日,10/26(日),19:04,鹿島アントラーズ,浦和レッズ,県立カシマサッカースタジアム,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１
15938,2014,Ｊ１,第３０節第１日,10/26(日),19:04,清水エスパルス,サンフレッチェ広島,ＩＡＩスタジアム日本平,スカパー！／スカパー！プレミアムサービス
15946,2014,Ｊ１,第３１節第２日,11/03(月・祝),17:04,横浜Ｆ・マリノス,浦和レッズ,日産スタジアム,スカパー！／スカパー！プレミアムサービス
15948,2014,Ｊ１,第３２節第１日,11/22(土),17:04,ベガルタ仙台,セレッソ大阪,ユアテックスタジアム仙台,スカパー！／スカパー！プレミアムサービス／ＮＨＫ　ＢＳ１（録）
15956,2014,Ｊ１,第３２節第１日,11/22(土),14:04,徳島ヴォルティス,サガン鳥栖,鳴門・大塚スポーツパーク　ポカリスエットスタジアム,スカパー！／スカパー！プレミアムサービス
16242,2014,Ｊ２,第２５節第１日,08/03(日),18:04,ジュビロ磐田,松本山雅ＦＣ,ヤマハスタジアム（磐田）,スカパー！／スカパー！プレミアムサービス
